GAME_ID,DATE_KEY,OPPONENT_ID,WIN_FLAG,RUNNING_WIN_PCT,WIN_STREAK,POINT_DIFF,PTS,PLUS_MINUS
0012300016,20231010,1,1,1.0,1,4.0,113,4.0
0012300033,20231013,2,0,0.5,0,-16.0,104,-16.0
0012300039,20231015,3,1,0.6666666666666666,1,8.0,132,8.0
0012300056,20231018,4,0,0.5,0,-3.0,104,-3.0
0012300071,20231020,5,0,0.4,0,-6.0,104,-6.0
0022300068,20231025,6,1,0.5,1,1.0,103,1.0
0022300080,20231027,7,0,0.42857142857142855,0,-8.0,111,-8.0
0022300093,20231028,8,0,0.375,0,-16.0,90,-16.0
0022300107,20231030,9,0,0.3333333333333333,0,-8.0,114,-8.0
0022300119,20231101,4,0,0.3,0,-4.0,105,-4.0
0022300003,20231103,10,1,0.36363636363636365,1,7.0,121,7.0
0022300150,20231106,11,1,0.4166666666666667,2,1.0,108,1.0
0022300164,20231108,3,1,0.46153846153846156,3,6.0,108,6.0
0022300175,20231111,12,1,0.5,4,8.0,117,8.0
0022300184,20231112,2,1,0.5333333333333333,5,5.0,118,5.0
0022300017,20231114,1,1,0.5625,6,6.0,111,6.0
0022300200,20231116,4,1,0.5882352941176471,7,7.0,122,7.0
0022300204,20231118,13,0,0.5555555555555556,0,-5.0,97,-5.0
0022300220,20231120,13,1,0.5789473684210527,1,18.0,118,18.0
0022300229,20231122,14,1,0.6,2,33.0,129,33.0
0022300045,20231124,15,0,0.5714285714285714,0,-2.0,98,-2.0
0022300240,20231125,4,0,0.5454545454545454,0,-15.0,97,-15.0
0022300056,20231128,9,0,0.5217391304347826,0,-7.0,124,-7.0
0022300267,20231130,16,1,0.5416666666666666,1,10.0,142,10.0
0022300284,20231202,16,0,0.52,0,-15.0,129,-15.0
0022301207,20231206,17,1,0.5384615384615384,1,9.0,112,9.0
0022301220,20231208,14,0,0.5185185185185185,0,-12.0,99,-12.0
0022300292,20231211,1,1,0.5357142857142857,1,2.0,116,2.0
0022300312,20231213,1,1,0.5517241379310345,2,11.0,115,11.0
0022300320,20231214,13,0,0.5333333333333333,0,-8.0,116,-8.0
0022300337,20231216,13,1,0.5483870967741935,1,2.0,118,2.0
0022300353,20231218,8,0,0.53125,0,-4.0,108,-4.0
0022300366,20231220,18,1,0.5454545454545454,1,9.0,115,9.0
0022300384,20231222,12,1,0.5588235294117647,2,9.0,122,9.0
0022300404,20231225,19,1,0.5714285714285714,3,6.0,119,6.0
0022300426,20231228,20,1,0.5833333333333334,4,12.0,114,12.0
0022300439,20231230,21,0,0.5675675675675675,0,-8.0,109,-8.0
0022300458,20240101,22,0,0.5526315789473685,0,-17.0,104,-17.0
0022300475,20240103,11,1,0.5641025641025641,1,14.0,110,14.0
0022300489,20240105,23,0,0.55,0,-16.0,97,-16.0
0022300509,20240108,5,1,0.5609756097560976,1,7.0,120,7.0
0022300522,20240110,24,0,0.5476190476190477,0,-8.0,120,-8.0
0022300535,20240112,18,1,0.5581395348837209,1,3.0,99,3.0
0022300551,20240114,1,1,0.5681818181818182,2,17.0,104,17.0
0022300562,20240115,4,1,0.5777777777777777,3,1.0,96,1.0
0022300574,20240117,17,0,0.5652173913043478,0,-24.0,97,-24.0
0022300587,20240119,12,0,0.5531914893617021,0,-1.0,108,-1.0
0022300601,20240121,18,0,0.5416666666666666,0,-18.0,87,-18.0
0022300621,20240124,3,0,0.5306122448979592,0,-9.0,96,-9.0
0022300630,20240125,7,0,0.52,0,-33.0,110,-33.0
0022300643,20240127,15,0,0.5098039215686274,0,-16.0,109,-16.0
0022300661,20240129,23,0,0.5,0,-13.0,105,-13.0
0022300678,20240131,25,1,0.5094339622641509,1,9.0,115,9.0
0022300689,20240202,10,1,0.5185185185185185,2,8.0,110,8.0
0022300708,20240204,22,0,0.509090909090909,0,-8.0,95,-8.0
0022300721,20240206,18,1,0.5178571428571429,1,26.0,121,26.0
0022300730,20240207,2,1,0.5263157894736842,2,12.0,116,12.0
0022300759,20240211,7,0,0.5172413793103449,0,-4.0,106,-4.0
0022300773,20240213,9,1,0.5254237288135594,1,26.0,123,26.0
0022300779,20240214,19,1,0.5333333333333333,2,5.0,109,5.0
0022300810,20240223,26,1,0.5409836065573771,3,11.0,106,11.0
0022300831,20240226,25,1,0.5483870967741935,4,11.0,121,11.0
0022300842,20240227,27,1,0.5555555555555556,5,10.0,106,10.0
0022300855,20240229,28,0,0.546875,0,-6.0,97,-6.0
0022300867,20240302,21,1,0.5538461538461539,1,6.0,126,6.0
0022300888,20240305,6,1,0.5606060606060606,2,8.0,118,8.0
0022300904,20240307,29,0,0.5522388059701493,0,-6.0,108,-6.0
0022300914,20240308,24,0,0.5441176470588235,0,-7.0,100,-7.0
0022300926,20240310,10,0,0.5362318840579711,0,-2.0,108,-2.0
0022300949,20240313,28,0,0.5285714285714286,0,-12.0,88,-12.0
0022300962,20240315,6,1,0.5352112676056338,1,13.0,108,13.0
0022300977,20240317,6,1,0.5416666666666666,2,3.0,104,3.0
0022300985,20240318,19,0,0.5342465753424658,0,-7.0,91,-7.0
0022300996,20240320,14,1,0.5405405405405406,1,3.0,107,3.0
0022301013,20240322,26,0,0.5333333333333333,0,-23.0,88,-23.0
0022301029,20240324,14,1,0.5394736842105263,1,37.0,121,37.0
0022301044,20240326,20,0,0.5324675324675324,0,-21.0,92,-21.0
0022301068,20240329,27,1,0.5384615384615384,1,60.0,142,60.0
0022301081,20240331,10,1,0.5443037974683544,2,12.0,119,12.0
0022301096,20240402,15,1,0.55,3,10.0,109,10.0
0022301111,20240404,19,0,0.5432098765432098,0,-4.0,105,-4.0
